,id,question,answer,facts,decomposition,cluster,index
591,2a9cf64b15df1b841f25,Does Santa Claus hypothetically give Joffrey Baratheon presents?,No,"['Santa Claus is a figure in folklore that gives good children presents and bad children coal.', 'Joffrey Baratheon is a character in the Game of Thrones TV series.', ""Joffrey is a young royal that has a man's tongue cut out."", 'Joffrey shoots his crossbow into the flesh of innocent people for his amusement.']","['What kind of children would Santa Claus give presents to?', ""What is Joffrey Baratheon's character like?"", 'Do #1 usually exhibit #2?']",0,981
638,6042b48035952d0e1a61,Would an astrologer focus on the densest terrestrial planet for a Friday horoscope?,Yes,"['Friday is associated with Venus in astrology', 'Venus is the densest of the terrestrial planets ']","['What astrological body is associated with Friday?', 'Which is the densest terrestrial planet?', 'Is #2 the same as #1?']",1,958
128,603f33161fb1500bb73d,Can a person be diagnosed with a Great Depression?,No,"['The Great Depression was a severe worldwide economic depression that took place mostly during the 1930s, beginning in the United States.', 'Major depressive disorder (MDD), also known simply as depression, is a mental disorder characterized by at least two weeks of low mood that is present across most situations.']","['What was the Great Depression?', 'What is depression that people suffer from?', 'Are #1 and #2 the same?']",2,1439
454,df1ec5fee0dec5410ab0,Is Snow White an example of good consent?,No,"['Snow White is unknowingly poisoned by a witch.', 'Snow White is unconscious when a man kisses her without her knowledge.', 'Consent involves knowingly allowing something to happen to oneself. ']","['What conditions can prevent someone from giving consent?', 'Was Snow White free of any of #1?']",3,1459
81,05a8b1683097fc70ac73,Is Hermes equivalent to the Roman god Vulcan?,No,"['Hermes is the Greek messenger god and god of roads and travelers.', 'Mercury is the Roman messenger god of roads and travelers.', 'The Roman Vulcan is actually equivalent to the Greek Hephaestus.', 'Hermes is equivalent to Mercury.']","['What is Hermes god of?', 'Who is the god of #1 in Roman mythology?', 'Is #2 the same as Vulcan?']",4,781
48,0d528ce1fdd22c9d8aa0,Did producer of Easy Rider ever star in a movie with Dean Cain's Princeton girlfriend?,Yes,"['Easy Rider was produced by Peter Fonda.', 'Dean Cain dated Brooke Shields while at Princeton.', 'Brooke Shields and Peter Fonda star in the movie Wanda Nevada.']","['Who produced Easy Rider?', 'Who did Dean Cain date while at Princeton?', 'What movies did #1 star in?', 'What movies did #2 star in?', 'Is at least one element of #3 also found in #4?']",0,1724
1689,0d2746ffc1870126ee29,Would the average Hawaiian male experience more days on Earth compared to a wild cane toad?,Yes,"['Cane toads have a life expectancy of 10 to 15 years in the wild.', 'The average life expectancy of a male born in Hawaii is 79.3 years as of 2018.']","['What is the average lifespan of an average Hawaiian male?', 'What is the average lifespan of a wild cane toad?', 'Is #1 greater than #2?']",1,1441
686,a253f98e01008297d4b3,Does having lip piercings lead to more expensive dental bills?,Yes,"['Lip piercings can rub the enamel on your teeth and can cause tissue damage to the gums.', 'Tooth enamel protects the teeth from decay.']","['What is the function of Tooth Enamel?', 'Can Lip piercing cause damage to #1', 'Will #2 cost you more expensive dental bills?']",2,555
1620,95c7c7b36b2dd981b820,Is a doctorate required to teach at a SUNY School?,No,"['At SUNY schools, there are some full time professors with doctorates.', 'At SUNY schools, there are adjunct professors who teach with a Masters degree. ']","['Is it the case, that there are no people teaching at SUNY that do not have a doctorate degree?']",3,1222
1618,43302ebc930b722c112b,Does Osama bin Laden put a wafer on his tongue every Sunday?,No,"['Osama bin Laden was an Islamic fundamentalist', 'The practice of putting a wafer on your tongue is called Communion', 'Communion is a Christian religious practice', 'Christians commonly attend religious services on Sunday']","['What is the practice of putting a wafer on your tongue called?', 'What religion practices #1 on Sundays?', 'Does Osama bin Laden practice #2?']",4,62
1315,947a089ce6992869815a,Did the swallow play a role in a famous film about King Arthur?,Yes,"['Monty Python and the Holy Grail was a famous film about King Arthur', 'In Monty Python and the Holy Grail, swallows are mentioned several times']","['What Monty Python film is about King Arthur?', 'Are swallows mentioned several times in #1?']",0,1044
245,3d726babfd864d2fd6a3,Would a 75 degree Fahrenheit day be unusual on the Antarctic Peninsula? ,Yes,"[""The warmest days on record in the Antarctic Peninsula are in the high 50's. "", 'On average, the Antarctic Peninsula is between -4 and 36 degrees Fahrenheit. ']","['What is the average temperature in the Antarctic Peninsula?', 'Does 75 degrees Fahrenheit fall outside the range of #1?']",1,563
1493,91917c5e30dbf8552b34,Would a vegan eat a traditional Paella dish?,No,"['Vegans do not consume animals or products derived from animals.', 'The traditional Paella recipe includes rabbit and chicken as two of the ingredients.']","['What kind of products are forbidden in a vegan diet?', 'What are the main ingredients of Paella?', 'Are all of #2 totally excluded from #1?']",2,700
908,1af3364389f69c57f600,Can Vice President of the United States kill with impunity?,Yes,"[' Vice President Aaron Burr fatally wounded Alexander Hamilton in a duel on July 11, 1804.', 'Aaron Burr continued his term as Vice President of the United States after killing Alexander Hamilton.', 'US stand-your-ground laws allow a person to defend themselves even to the point of applying lethal force.']","[""What was the outcome of Vice President Aaron Burr's duel in July, 1804?"", ""Did#1 lead to loss of his opponent's life and did he continue his term afterwards?""]",3,501
1149,cd1e50e79d07a0320120,Did Polar Bears roam around in Ancient Greece?,No,"['Polar Bears live in the Arctic, with temperatures that can get as low as -35 degrees celsius.', 'Ancient Greece had an average temperature of 24 degrees celsius.']","['Where do polar bears live?', 'What is the average temperature of #1?', 'What was the average temperature of Ancient Greece?', 'Is #3 the same as #2?']",4,1446
375,7a1c9d5ad2a66bf90240,Is ABBA's 1970's genre still relevant today?,Yes,"[""ABBA was a 1970's music group that specialized in Disco music."", 'Pop artist Dua Lipa\'s 2020 album, Future Nostalgia, was described by Rolling Stone as , ""The Disco Liberation We Need.""', 'Magnetic Magazine released an article in 2020 entitled, ""The Best Disco and Funk Tracks of 2020.""']","[""What genre of music did music group ABBA specialize in in the 1970's?"", 'Are #1 still relevant today?']",0,630
530,85300febfe21ecdcc5b1,Would a Wolverine and a Lynx be hard to tell apart?,No,"['Wolverines have rounded ears and a bear-like appearance.', 'Lynxes have a feline body with pointed ears.']","['What are the physical characteristics of wolverines?', 'What are the physical characteristics of lynxes?', 'Is there any significant overlap between #1 and #2?']",1,841
495,64b4d43fa8671c798921,Are all cucumbers the same texture?,No,"['Kirby cucumbers are known for being covered in bumps.', 'English cucumbers are usually covered in ridges.']","['What texture do kirby cucumbers have?', 'What texture do English cucumbers have?', 'Is #1 the same as #2?']",2,1651
84,3f09ce8b018df4527e20,Are sea turtles enjoying life during quarantine?,Yes,"['Sea turtles nest on beaches', 'Quarantine due to COVID has resulted in far fewer people using beaches', 'More sea turtles have been able to nest and reproduce on beaches during quarantine']","['What elements comprise ""enjoying life"" for a sea turtle?', 'Where do the elements in #1 occur?', 'How prevalent were humans in the areas in #2 pre-Covid-19?', 'In the areas in #2, are humans less prevalent now than in #3?']",3,1556
1479,69e0b6f868ee71314fc1,Does Marco Rubio have a close relationship with Allah?,No,"['Marco Rubio adheres to the religious sect of Christianity known as Catholicism.', 'Catholics and other Christians worship God.', 'Allah is worshiped by believers of Islam.']","[""What is Marco Rubio's religion?"", 'Which deity does #1 worship?', 'Is #2 Allah?']",4,199
529,15586c73003c301ef18f,Could SNL be why Jenny McCarthy does not get along with her cousin?,Yes,"[""Jenny McCarthy is cousin's with Melissa McCarthy."", ""Melissa McCarthy and Jenny McCarthy are not close and Melissa did not even attend Jenny's wedding."", 'Jenny McCarthy was spoofed in n episode of SNL (Saturday Night Live) for a rant she did on The View.', 'Melissa McCarthy has been a frequent guest on SNL (Saturday Night Live) from 2011-2017.', 'Melissa McCarthy was nominated five times for a Primetime Emmy Award for Outstanding Guest Actress in a Comedy Series for her appearances on SNL.']","[""Who is Jenny McCarthy's cousin?"", 'What show has #1 been a frequent guest of?', 'Was Jenny McCarthy made fun of on #2?']",0,1159
494,a3416e6b8a34d389eb0c,Would a hypothetical Yeti be towered over by Andre the Giant?,Yes,"['The mythical Yeti is said to be between 200 and 400 pounds.', 'The mythical Yeti is said to be around 6 feet tall.', 'Andre the Giant was an imposing 7\'4"" and 529 pounds.']","['How tall was Andre the Giant?', 'How tall are Yeti thought to be?', 'Is #2 greater than #1?']",1,1490
1282,72af0dabec64573d498f,Would someone on a keto diet be able to eat Dosa?,No,"[""Dosa's main ingredients are rice and black gram,"", 'The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet.', 'Rice is high in carbohydrates.']","['Which food nutrients are minimally consumed in a keto diet?', 'Which food nutrients does Dosa promarily contain?', 'Is #2 excluded from #1?']",2,682
428,4ba70839df733c61f9a5,Do you need to worry about Zika virus in Antarctica? ,No,"['Mosquitoes cannot survive in the climate of Antarctica.', 'Zika virus is primarily spread through mosquito bites. ']","['What animal spreads the Zika Virus?', 'What is the climate of Antarctica?', 'Can #1 survive in #2?']",3,642
821,d0145341694e7034555d,Can the United Nations Framework Convention on Climate Change be held at the Javits Center?,No,"['The United Nations Framework Convention on Climate Change is an international treaty, not a physical meeting', 'The Javits Center is a convention center in New York City']","['What kind of event is the United Nations Framework Convention on Climate Change?', 'Does #1 have to meet at a convention centre?']",4,1465
1227,f4ac300578dfab653d3f,Has type of political association Pompey had with Caesar influenced reality TV?,Yes,"['Pompey, Julius Caesar, and Marcus Licinius Crassus formed a political association called a triumvirate.', 'A triumvirate spits rule between three powerful people that get to make decisions.', 'Reality show The Challenge: Total Madness appoints three weekly winners to make decisions for the group, known as the Tribunal.', 'Reality show American Idol has had three judges making decisions about which contestants advance.']","['Which political association did Pompey form with Julius Caesar and Marcus Licinius Crassus?', 'How many people does #1 typically involve?', 'How many judges are on reality show American Idol?', 'Is #2 equal to #3?']",0,825
1689,0d2746ffc1870126ee29,Would the average Hawaiian male experience more days on Earth compared to a wild cane toad?,Yes,"['Cane toads have a life expectancy of 10 to 15 years in the wild.', 'The average life expectancy of a male born in Hawaii is 79.3 years as of 2018.']","['What is the average lifespan of an average Hawaiian male?', 'What is the average lifespan of a wild cane toad?', 'Is #1 greater than #2?']",1,1441
1232,d82193894aa1c12fbc40,Do workers at Nissan's headquarters eat with chopsticks?,Yes,"[""Nissan's headquarters are located in Yokohama, Japan."", 'It is customary to eat with chopsticks in East Asian countries.', 'Japan is a country in East Asia.']","[""Where is Nissan's headquarters located?"", 'Do people living in #1 usually eat with chopsticks?']",2,182
1488,4ceb5ba3fb64a5f89a59,Do most people only memorize slightly over half of their ZIP code?,Yes,"['ZIP codes in the US are 9 digits in length. ', 'Most forms in the US only require and have space for the first 5 digits of a ZIP code?']","['How long are zip codes in the US?', 'When forms ask for zip codes, how many spaces do they typically request?', 'Is #2 less than #1?']",3,886
788,3a61dcbed7e358b3aee8,Can 200 men end to end cover Great Pyramid of Giza's base?,Yes,"['The base of the Great Pyramid of Giza is 756 feet long.', 'The average height of a man is 5 foot 9.']","['What is the height in inches of the average man?', 'What is length in inches of the base of The Great Pyramid of Giza?', 'What is 200 times #1?', 'Is #3 more than #2?']",4,799
