,question,options,rationale,correct,cluster,index
55537,"The probability of a lottery ticket being a prized ticket is 0.2. When 4 tickets are purchased, the probability of winning a prize on atleast one ticket is","['A)0.5928', 'B)0.5904', 'C)0.2788', 'D)0.2699', 'E)0.2998']","P(winning prize atleast on one ticket)
= 1 - P(""Losing on all tickets"")
= 1 - (0.8)4 = (1 + (0.8)2)(1 - (0.8)2)
= (1.64)(0.36) = 0.5904
Answer:B",B,0,13125
54088,"Sum of three numbers 275, If the first number be twice then second and third number be one third of the first, then the second number is","['A)A)70', 'B)B)71', 'C)C)72', 'D)D)73', 'E)E)75']","Explanation:
Let the second number is x, then first is 2x, and third is 1/3(2x)
=>2x+x+2x/3=275
<=>11x/3=275
=>x=75
Answer: Option E",E,1,428
14410,"A man can swim in still water at 4.5 km/h, but takes twice as long to swim upstream than downstream. The speed of the stream is?","['A)5', 'B)8', 'C)1', 'D)6', 'E)1.5']","Explanation:
M = 4.5
S = x
DS = 4.5 + x
US = 4.5 + x
4.5 + x = (4.5 - x)2
4.5 + x = 9 -2x
3x = 4.5
x = 1.5
Answer: E",E,2,40184
70598,"In the x-y plane, the area of the region bounded by the graph of |x+y| + |x-y| = 8 is","['A)8', 'B)12', 'C)256', 'D)20', 'E)24']","I've never seen such kind of question in GMAT before.
OK there can be 4 cases:
|x+y| + |x-y| = 8
A. x+y+x-y = 8 --> x=4
B. x+y-x+y = 8 --> y=4
C. -x-y +x-y= 8 --> y=-4
D. -x-y-x+y=8 --> x=-4
The area bounded by 4 graphs x=4, x=-4, y=4, y=-4 will be square with the side of 4 so the area will be 16*16=256
Answer: C",C,3,12424
28541,"A man sells an article at a gain 15%. If he had bought it at 10% less and sold it for 4 less, he would have gained 25%. Find the cost price of the article.","['A)150', 'B)160', 'C)170', 'D)180', 'E)None of these']","Let the C.P. be 100
First S.P. = 115
Second C.P. = 90
Second S.P = 125% of 90 = 112.50
Difference of two selling prices is 115 – 112.50 = 2.50 and C.P. of the article is 100
But actual difference is 4.
∴ C.P. = 100⁄2.50 × 4 = 160.
Answer B",B,4,66380
9226,The marks obtained by Polly and Sandy are in the ratio 5:6 and those obtained by Sandy and Willy are in the ratio of 3:2. The marks obtained by Polly and Willy are in the ratio of...?,"['A)3:2', 'B)5:4', 'C)7:6', 'D)9:8', 'E)11:10']","Polly : Sandy = 5:6
Sandy : Willy = 3:2 = 6:4
Polly : Sandy : Willy = 5:6:4
Polly : Willy = 5:4
The answer is B.",B,0,22597
58860,"Difference between two numbers is 5, six times of the smaller lacks by 6 from the four times of the greater. Find the numbers?","['A)5,14', 'B)6,4', 'C)12,7', 'D)7,5', 'E)4,7']","Answer: Option C
x â€“ y = 5
4x â€“ 6y = 6
x = 12 y = 7",C,1,49868
26850,A train crosses a bridge of length 800 m in 45 seconds and a lamp post on the bridge in 15 seconds. What is the length of the train in metres?,"['A)375 m', 'B)750 m', 'C)400 m', 'D)800 m', 'E)300 m']","Let Length of Train = L
Case-1: Distance = 800+L (While crossing the bridge)
Time = 45 Seconds
i.e. Speed = Distance / Time = (800+L)/45
Case-2: Distance = L (While passing the lamp post)
Time = 15 Seconds
i.e. Speed = Distance / Time = (L)/15
But Since speed has to be same in both cases so
(800+L)/45 = (L)/15
i.e. 800 + L = 3L
i.e. 2L = 800
i.e. L = 400
Answer: option C",C,2,43050
21796,"If 1/(m – 2) = 1/(m + 2) + 1/(m – 1), which of the following is a possible value of m?","['A)0', 'B)-1', 'C)-2', 'D)1', 'E)2']","Multiply by (m-2)*(m+2)*(m-1) throughout to get:
(m+2)*(m-1) = (m-2)*(m-1) + (m+2)(m-2)
Of the given options, only m=0 satisfies this.
Answer : A",A,3,38632
87996,If A lends Rs.3500 to B at 10% per annum and B lends the same sum to C at 14% per annum then the gain of B in a period of 3 years is?,"['A)400', 'B)410', 'C)460', 'D)420', 'E)430']","(3500*4*3)/100 => 420
Answer: D",D,4,54229
19146,"In a group of people, if 30 people were made to stand in each column, 16 columns could be formed. If 40 people were made to stand in a column, how many columns could be formed?","['A)12', 'B)14', 'C)16', 'D)18', 'E)20']","16*30 = 40*n
n = 12
The answer is A.",A,0,17975
22554,Three seventh of a number is 12 more than 40% of that number. What will be the 30% of that number?,"['A)A)148', 'B)B)210', 'C)C)63', 'D)D)248', 'E)E)258']","3/7 x – 40/100 x = 12
x = 35 * 12
35 * 12 * 30/100 = 126/2 = 63
ANSWER:C",C,1,32083
92474,"A walks at 30 kmph and 30 hours after his start, B cycles after him at 42 kmph. How far from the start does B catch up with A?","['A)1200km', 'B)1500km', 'C)2000km', 'D)2500km', 'E)3150km']","Suppose after x km from the start B catches up with A. Then, the difference in the time taken by A to cover x km and that taken by B to cover x km is 30 hours.
x/30 - x/42 = 30
x = 3150 km
Answer is E",E,2,58641
96462,The sum of three consecutive even numbers is 366. Find the middle number of the three?,"['A)111', 'B)123', 'C)122', 'D)152', 'E)142']","Middle number =366/3
=122
Ans C",C,3,10455
35503,"A man sells an article at a profit of 25%. If he had bought it at 20% less and sold it for Rs.6.30 less, he would have gained 30%. Find the cost of the article.","['A)30', 'B)40', 'C)50', 'D)60', 'E)70']","Let C.P=100
Gain=25%
S.P=125
Supposed C.P=80
Gain=30%
S.P=(130*80)/100=104
Diff=(125-104)=21
Diff 21 when C.P=100
then Diff 6.30 when C.P=(100*6.30)/21=30
ANSWER:A",A,4,63271
59115,"A car gets 24 miles to the gallon. If it is modified to use a solar panel, it will use only 75 percent as much fuel as it does now. If the fuel tank holds 12 gallons, how many more miles will the car be able to travel, per full tank of fuel, after it has been modified?","['A)96', 'B)100', 'C)104', 'D)108', 'E)112']","Originally, the distance the car could go on a full tank was 12*24=288 miles.
After it has been modified, the car can go 24/0.75=32 miles per gallon.
On a full tank, the car can go 32*12= 384 miles, thus 96 miles more.
The answer is A.",A,0,43523
23375,"The average of 20, 40 and 150 is twice the average of 10, 30, and which of the following ?","['A)1)10', 'B)2)30', 'C)3)65', 'D)4)90', 'E)5)180']","20 40 150 = 150+60 = 210/3 = 70.
70/2 = 35
10 30 x = 40+x/3 should be smaller than 35
cross multiply 35*3-40 = 65
C",C,1,17367
27504,"A man rows his boat 105 km downstream and 45 km upstream, taking 2 1/2 hours each time. Find the speed of the stream?","['A)5 kmph', 'B)7 kmph', 'C)12 kmph', 'D)8 kmph', 'E)1 kmph']","Speed downstream = d/t = 105/(2 1/2) = 42 kmph
Speed upstream = d/t = 45/(2 1/2) = 18 kmph
The speed of the stream = (42 - 18)/2 = 12 kmph
Answer:C",C,2,8279
19531,The graph of a quadratic function and the graph of a linear function in the xy plane can intersect in at most how many points,"['A)one', 'B)Two', 'C)Three', 'D)Four', 'E)More than four']","i also thought 2 but i think we need to consider linear function like y=|X| then it could intersect at 6 points.
E",E,3,33485
83001,"What profit percent is made by selling an article at a certain price, if by selling at 2/3rd of that price, there would be a loss of 30%?","['A)20%', 'B)29%', 'C)70%', 'D)27%', 'E)5%']","SP2 = 2/3 SP1
CP = 100
SP2 = 70
2/3 SP1 = 70
SP1 = 105
100 --- 105 => 5%
Answer: E",E,4,2086
26831,"In a 1000 m race, A beats B by 50 m and B beats C by 100 m. In the same race, by how many meters does A beat C?","['A)156 m', 'B)140 m', 'C)145 m', 'D)169 m', 'E)172 m']","C
145 m
By the time A covers 1000 m, B covers (1000 - 50) = 950 m.
By the time B covers 1000 m, C covers (1000 - 100) = 900 m.
So, the ratio of speeds of A and C =
1000/950 * 1000/900 = 1000/855 So, by the time A covers 1000 m, C covers 855 m.
So in 1000 m race A beats C by 1000 - 855 = 145 m.",C,0,32421
84385,Count the numbers between 10 - 99 which yield a remainder of 3 when divided by 9 and also yield a remainder of 2 when divided by 5?,"['A)Two', 'B)Five', 'C)Six', 'D)Four', 'E)One']","Answer = A) Two
Numbers between 10 - 99 giving remainder 3 when divided by 9 = 12, 21, 30, 39, 48, 57, 66, 75, 84, 93
The Numbers giving remainder 2 when divided by 5 = 12, 57 = 2",A,1,2518
32660,A train running at the speed of 60 km/hr crosses a pole in 3 seconds. Find the length of the train.,"['A)60', 'B)50', 'C)75', 'D)100', 'E)120']",":
Speed = 60*(5/18) m/sec = 50/3 m/sec
Length of Train (Distance) = Speed * Time
(50/3) * 3 = 50 meter
Answer:B",B,2,10137
50013,"If n is an integer greater than 7, which of the following must be divisible by 3?","['A)1. n (n+1) (n-4)', 'B)2. n (n+2) (n-1)', 'C)3. n (n+3) (n-5)', 'D)4. n (n+4) (n-2)', 'E)5. n (n+5) (n-6)']","We need to find out the number which is divisible by three,
In every 3 consecutive integers, there must contain 1 multiple of 3.
So n+4 and n+1 are same if we need to find out the 3's multiple. replace all the numbers which are more than or equal to three
1. n (n+1) (n-4) = > n(n+1)(n-1) = > (n-1)n(n+1)
2. n (n+2) (n-1) = > n(n+2)(n-1) = > (n-1)n(n+1)
3. n (n+3) (n-5) = > n(n+0)(n-2) = > (n-2)n(n)
4. n (n+4) (n-2) = > n(n+1)(n-2) = > (n-2)n(n+1)
5. n (n+5) (n-6) = > n(n+2)(n-0) = > (n)n(n+2)
from the above onlyoption Ais product of consecutive three numbers.
D",D,3,61982
16632,"A merchant gains or loses, in a bargain, a certain sum. In a second bargain, he gains 280 dollars, and, in a third, loses 20. In the end he finds he has gained 120 dollars, by the three together. How much did he gain or lose bv the first ?","['A)80', 'B)-140', 'C)140', 'D)120', 'E)None']","In this sum, as the profit and loss are opposite in their nature, they must be distinguished by contrary signs. If the profit is marked +, the loss must be -.
Let x = the sum required.
Then according to the statement x + 280 - 20 = 120
And x = -140.
Answer B",B,4,35262
88770,"P is 30% more efficient than Q. P can complete a work in 23 days. If P and Q work together, how much time will it take to complete the same work?","['A)9', 'B)11', 'C)13', 'D)15', 'E)17']","Explanation :
Work done by P in 1 day = 1/23
Let work done by Q in 1 day = q
q × (130/100) = 1/23
=> q = 100/(23×130) = 10/(23×13)
Work done by P and Q in 1 day = 1/23 + 10/(23×13) = 23/(23×13)= 1/13
=> P and Q together can do the work in 13 days
Answer : Option C",C,0,21876
80165,How many prime numbers are between 29/4 and 87/5?,"['A)1', 'B)2', 'C)3', 'D)4', 'E)5']","29/4 = 7.xxx
87/5 = 17.xxx
So we need to find Prime numbers between 7 (Exclusive) - 16 (Inclusive)
There are 2 Prime numbers 1113
Hence answer will be (B) 2
B",B,1,62256
47703,A man can row his boat with the stream at 18 km/h and against the stream in 4 km/h. The man's rate is?,"['A)1 kmph', 'B)3 kmph', 'C)8 kmph', 'D)7 kmph', 'E)5 kmph']","DS = 18
US = 4
S = ?
S = (18 - 4)/2 = 7 kmph
Answer: D",D,2,57149
6239,Find the numbers which are in the ratio 3:2:2 such that the sum of the first and the second added to the difference of the third and the second is 20?,"['A)12,8,8', 'B)4,4,22', 'C)9,3,32', 'D)9,6,12', 'E)9,2,23']","Let the numbers be a, b and c.
a:b:c = 3:2:2
Given, (a + b) + (c - b) = 20
=> a + c = 20
=> 3x + 2x = 20 => x =4
a, b, c are 3x, 2x, 2x
a, b, c are 12, 8, 8.
Answer:A",A,3,14964
93033,A sum of money at simple interest amounts to Rs. 825 in 3 years and to Rs. 850 in 4 years. The sum is?,"['A)s. 738', 'B)s. 750', 'C)s. 650', 'D)s. 730', 'E)s. 735']","S.I. for 1 year = (850 - 825) = Rs. 25
S.I. for 3 years = 25 * 3 = Rs. 75
Principal = (825 - 75) = Rs. 750.
ANSWER:B",B,4,7949
