,Unnamed: 0,question,answer,cluster,index
2915,2915,Adam and Tom are brothers. Adam is 8 years old and Tom is 12 years old. In how many years will their combined age be 44 years old?,"At present, the two brothers have a combined age of 8 + 12 = <<8+12=20>>20 years old.
Therefore, 1 year means an increase in the sum of their ages by 1 * 2 = <<1*2=2>>2 years.
Adam and Tom need a total of 44 - 20 = <<44-20=24>>24 more years to be 44 years old together.
So both brothers will be 44 years old together after 24 / 2 = <<24/2=12>>12 years.
#### 12",3,1430
1334,1334,"Rachel is stuffing envelopes. She has eight hours to complete the task, and there are 1,500 envelopes. In the first hour, Rachel stuffs 135 envelopes. The second hour she stuffs 141 envelopes. How many envelopes will Rachel need to stuff per hour to finish the job?","Rachel has 1500 - 135 - 141 envelopes = <<1500-135-141=1224>>1224 envelopes remaining to stuff.
Rachel has 8 hours - 2 hours = <<8-2=6>>6 hours left to finish the task.
Rachel needs to stuff 1224 envelopes / 6 hours = <<1224/6=204>>204 envelopes per hour.
#### 204",4,637
2831,2831,Mandy researched 42 med schools. She applied to 1/3 of the schools she researched and got into half of the schools where she applied. How many schools was Mandy accepted to?,"First find the number of schools Mandy applied to: 42 med schools / 3 = <<42/3=14>>14 med schools
Then divide that number by 2 to find the number of schools where she was accepted: 14 med schools / 2 = <<14/2=7>>7 med schools
#### 7",0,4393
5744,5744,"Olivia and Nigel are traveling in Asia.  Olivia has $112 and Nigel has $139. If together they buy six one day passes to a tourist attraction for $28 per ticket, how much money do they have left?","They have 112+139=$<<112+139=251>>251
The passes cost 6*28=$<<6*28=168>>168
They have 251-168=$<<251-168=83>>83 left.
#### 83",1,2386
2987,2987,Beth is looking at her book collection and is wondering how many comic books she owns. She has 120 books and 65% are novels. 18 are graphic novels. The rest are comic books. What percentage of comic books does she own?,"The proportion of graphic novels is .15 because 18 / 120 = <<18/120=.15>>.15
The percentage of graphic novels is 15 because 100 x .15 = <<100*.15=15>>15
The percentage of comic books is 20 because 100 - 65 - 15 = <<100-65-15=20>>20
#### 20",2,1561
5475,5475,"The chances of making the junior high basketball team start at 10% if you're 66 inches and increase 10% for every additional inch of height. Devin starts out as 65 inches tall, then grows 3 inches. What are his chances of making the basketball team?","First find Devin's new height by adding his growth to the original height: 65 inches + 3 inches = <<65+3=68>>68 inches
Then subtract 66 inches from Devin's height to find how many extra inches of height he has: 68 inches - 66 inches = <<68-66=2>>2 inches
Then multiply the number of extra inches by the percentage increase per inch to find the total percentage increase in his chances: 2 inches * 10%/inch = 20%
Then add the percentage increase to the base percentage to find Devin's overall chance of making the basketball team: 10% + 20% = 30%
#### 30",3,3697
4992,4992,"Pria bought a new car that advertised an estimated gas mileage of 35 miles per gallon. The car has a 12-gallon tank. She filled her car full of gas and was able to drive a total of 372 miles. What was the difference, in miles per gallon, between Pria's mileage and the advertised mileage?","Pria's car achieved a rate of 372 miles / 12 gallons = <<372/12=31>>31 miles per gallon.
Therefore, it was a difference of 35 - 31 = <<35-31=4>>4 miles per gallon.
#### 4",4,4670
5104,5104,"The school band is going to a competition. Five members play the flute. There are three times as many members who play the trumpet. There are eight fewer trombone players than trumpeters, and eleven more drummers than trombone players. There are twice as many members that play the clarinet as members that play the flute. Three more members play the French horn than play the trombone. How many seats are needed on the bus?","There are 3 trumpets/flute x 5 flutes = <<3*5=15>>15 trumpet players
There are 15 players - 8 players = <<15-8=7>>7 trombone players
There are 7 players + 11 players = <<7+11=18>>18 drummers.
There are 2 clarinets/flute x 5 flutes = 10 clarinet players
There are 7 players + 3 players = <<7+3=10>>10 French horn players
In total 5 players + 15 players + 7 players + 18 players + 10 players + 10 players = <<5+15+7+18+10+10=65>>65 seats needed.
#### 65",0,4651
745,745,"Village Foods sells good food at a fair price.  Their specialty is fresh vegetables.  If they get 500 customers per month, and each customer purchases 2 heads of lettuce for $1 each and 4 tomatoes for $0.5 apiece, then how much money, in dollars, will the store receive in sales of lettuce and tomatoes per month?","2 heads of lettuce at $1 apiece is 2*$1=$<<2*1=2>>2.
4 tomatoes at $0.50 apiece is 4*$0.5=$<<4*0.5=2>>2.
Thus, each customer purchases $2+$2=$<<2+2=4>>4 in lettuce and tomatoes per month.
Therefore, if 500 customers per month spend $4 on lettuce and tomatoes, then the store will receive $4*500=$<<4*500=2000>>2000 per month on sales of lettuce and tomatoes.
#### 2000",1,645
4330,4330,"Simon has 20% more legos than Bruce, who has 20 more than Kent.  If Kent has 40 legos, how many does Simon have?","Bruce has 20 more legos than Kent who has 40 so Bruce has 20+40 = <<20+40=60>>60 legos
Simon has 20% more legos than Bruce who has 60 legos so that's .20*60 = <<20*.01*60=12>>12 more legos
20% more is 12 legos and Bruce has 60 so Simon has 12+60 = 72 legos
#### 72",2,4499
6294,6294,"Roger's age is 5 more than twice Jill's age. In 15 years, their age difference will be 30 years less than Finley's age. If Jill is 20 years old now, how old is Finley?","Twice Jill's age is 2*20=<<2*20=40>>40
If Roger's age is 5 more than twice Jill's age, he is 5+40=45 years old.
In 15 years, Jill will be 20+15=<<20+15=35>>35 years old.
Roger's age will be 45+15=<<45+15=60>>60 years old in 15 years.
The age difference between Roger and Jill in fifteen years will be 60-35=<<60-35=25>>25 years
In 15 years, the age difference between Roger and Jill will be 30 years less than Finley's age, meaning in fifteen years Finley will be 30+25=<<30+25=55>>55 years old.
Currently, Finley is 55-15=<<55-15=40>>40 years old.
#### 40",3,4913
5606,5606,"Gunther needs to clean his apartment.  It takes him 45 minutes to vacuum the carpets, 60 minutes to dust the furniture, 30 minutes to mop the floors in his kitchen, and 5 minutes to brush each cat, and he has three cats.  If he has 3 hours of free time available, and he uses this time to clean his apartment, how many minutes of free time will he have left after he cleans the apartment?","It will take 3 * 5 = <<3*5=15>>15 minutes to brush his cats.
All together, it will take 45 + 60 + 30 + 15 = <<45+60+30+15=150>>150 minutes to clean his apartment.
In three hours, there are 60 * 3 = <<60*3=180>>180 minutes.
Thus, he will have 180 - 150 = <<180-150=30>>30 minutes of free time remaining.
#### 30",4,3208
4077,4077,"Three towns, Toadon, Gordonia, and Lake Bright, have 80000 people. Gordonia has 1/2 times the total population in the three cities. If the population of Toadon is 60 percent of Gordonia's population, how many people live in Lake Bright?","The population of Gordonia is 1/2 * 80000 people = 40000 people
Toadon has 60/100 * 40000 people = <<60/100*40000=24000>>24000 people
The total population of Gordonia and Toadon is 40000 people + 24000 people = <<40000+24000=64000>>64000 people
The population of Lake Bright is 80000 people - 64000 people = <<80000-64000=16000>>16000 people
#### 16000",0,1774
2642,2642,George had $100. He bought a shirt for $24 and he also bought a pair of socks. Then he had $65 left. How much is a pair of socks?,"George had $100 - $24 = $<<100-24=76>>76 left after buying a shirt.
Since he has $65 left after buying a pair of socks, then a pair of socks costs $76 - $65 = $<<76-65=11>>11.
#### 11",1,809
5769,5769,"Zara bought 24 cows, 7 sheep, and some goats. Next week, she will transport all of them to a new farm in 3 equally-sized groups of 48 animals per group. How many goats does she own?","Zara will transport a total of 3 * 48 = <<3*48=144>>144 animals.
The known number of animals is 24 + 7 = <<24+7=31>>31 cows and sheep.
Zara therefore has 144 - 31 = <<144-31=113>>113 goats.
#### 113",2,661
3777,3777,"Janet has 60 less than four times as many siblings as Masud. Carlos has 3/4 times as many siblings as Masud. If Masud has 60 siblings, how many more siblings does Janet have more than Carlos?","If Masud has 60 siblings, and Carlos has 3/4 times as many siblings as Masud, Carlos has 3/4*60=<<60*3/4=45>>45 siblings.
Four times as many siblings as Masud has is 4*60=<<4*60=240>>240
Janet has 60 less than four times as many siblings as Masud, a total of 240-60=<<240-60=180>>180 siblings.
The number of siblings Janet have more than Carlos is 180-45=<<180-45=135>>135
#### 135",3,4861
4432,4432,"Shane wants to take as many photos as possible this year. He takes 146 photos in the first 2 months of the year. In January, he takes 2 photos every day. The rest of the photos were taken in February. If in February he took an equal number of photos each week, how many photos did Shane take each week in February?","Shane takes a total of 2 photos/day * 31 days = <<2*31=62>>62 photos in January.
This means he must have taken 146 total photos – 62 January photos = 84 photos in February.
As he took an equal number each week, he must have taken 84 photos / 4 weeks = <<84/4=21>>21 photos each week.
#### 21",4,4199
5892,5892,"The community leader of a certain town organized a cleaning day event where community members were to be involved in collecting trash inside the town. Out of 2000 community members involved in the cleaning process, 30% were adult men. If there were twice as many adult women as adult men in the event, and the rest were children, calculate the total number of children involved in the cleaning event.","If the number of adult men involved in the cleaning process was 30% of the community members, there were 30/100*2000 = <<30/100*2000=600>>600 adult men at the event.
There were also twice as many adult women as adult men in the event, a total of 2*600 = <<2*600=1200>>1200 women.
The total number of adults in the event was 1200+600= <<1200+600=1800>>1800
If the rest of the people at the cleaning event were children, there were 2000-1800 = <<2000-1800=200>>200 children at the event.
#### 200",0,5095
6713,6713,"Charlotte is making a pie. She can't decide if she will make cherry or blueberry. So she decides to make whichever pie is cheapest. Both pies will need $2 for flour, $1 for sugar and $1.5 for eggs and butter to make the crust. The blueberry pie needs 3 pounds of blueberries. The blueberries come in 8 oz containers for $2.25. For the cherry pie, she needs 4 pounds and they come in a four-pound bag for $14. What is the total price to make the cheapest pie?","The crust will cost $4.5 because 2 + 1 + 1.5 = <<2+1+1.5=4.5>>4.5
She will need 6 containers for blueberries because 3 x (8/16) = 6
The blueberries will cost $13.5 because 6 x 2.25 = <<6*2.25=13.5>>13.5
The blueberries are cheaper because 13.5 < 14
The blueberry pie will cost $18 to make because 4.5 + 13.5 = <<4.5+13.5=18>>18
#### 18",1,4722
5949,5949,"Logan's father receives 50 cartons delivery for his milk business, each carton having 20 jars of milk. On a particular week, he received 20 cartons less when the delivery was done, and during offloading, he realized 3 jars in 5 cartons each was damaged, and one carton was totally damaged. How many jars of milk were good for sale that week?","When 20 cartons failed to be delivered, the number of cartons reduced to 50-20 = <<50-20=30>>30 cartons.
The total number of jars in all the cartons is 30*20 = <<30*20=600>>600
The total number of jars destroyed in the 5 cartons is 3*5 = <<3*5=15>>15 jars.
If one carton was also destroyed, the total number of destroyed jars is 20+15 = <<20+15=35>>35 jars.
The number of jars good for sale is 600-35 = <<600-35=565>>565 jars.
#### 565",2,4685
1444,1444,"Aria has twice as many high school credits as Emily, who has twice the number of high school credits as Spencer. If Emily has 20 credits, what's twice the total number of high school credits the three have?","If Emily has 20 credits, and Aria has 2 times as many, then Aria has 2*20=<<20*2=40>>40 high school credits.
Emily has twice the number of high school credits Spencer has, meaning Spencer has 20/2=<<20/2=10>>10 high school credits.
Altogether, the three have 40 + 20 + 10=<<40+20+10=70>>70 high school credits.
Twice the total number of high school credits the three have is 2*70=<<2*70=140>>140
#### 140",3,1398
6242,6242,Tim drinks 2 bottles that are each 1.5 quarts and an additional 20 ounces a day.  How much water does he drink a week?,"The bottles are 1.5*32=<<1.5*32=48>>48 ounces
So he drinks 48*2=<<48*2=96>>96 ounces from the bottles
So in total he drank 96+20=<<96+20=116>>116 ounces a day
116*7=<<116*7=812>>812 ounces a week
#### 812",4,5077
1248,1248,"Mrs. Finley's class has 24 students, and Mr. Johnson's class has 10 more than half the number in Mrs. Finley's class. How many students are in Mr. Johnson's class?","Half the number in Mrs. Finley's class is 24/2=<<24/2=12>>12.
Mr. Johnson has 12+10=<<12+10=22>>22 students.
#### 22",0,3991
5640,5640,"Phantom's mom gave him $50 to buy printer-inks. At the store, he bought two black printer inks which cost $11 each, three red printer inks which cost $15 each, and two yellow printer inks which cost $13 each. Phantom found out that his money is not enough to buy all the printer inks. How much more money should he ask his mom to be able to buy the printer inks?","Black printer inks will cost him 2 x $11 = $<<2*11=22>>22.
Red printer inks will cost him 3 x $15 = $<<3*15=45>>45.
And yellow printer inks will cost him 2 x $13 = $<<2*13=26>>26.
The total amount he has to pay for the printer inks is $22 + $45 + $26 = $<<22+45+26=93>>93
Therefore, Phantom has to ask $93 - $50 = $<<93-50=43>>43 more from his mom to be able to buy the printer inks.
#### 43",1,3464
784,784,The county fair was hosting a pumpkin contest to see who could grow the biggest pumpkin in pounds.  Brad entered his pumpkin with a weight of 54 pounds.  Jessica's was half the weight of Brad's.  Betty's pumpkin weight 4 times the amount of Jessica's pumpkin.  What is the difference between the heaviest and lightest pumpkin in  pounds?,"Jessica's pumpkin weighs half the weight of Brad's 54-pound pumpkin so 54/2 = <<54/2=27>>27 pounds
Betty's pumpkin weighs 4 times the amount of Jessica's 27-pound pumpkin so it weighs 4*27 = <<4*27=108>>108
Betty has the heaviest pumpkin at 108 pounds while Jessica's is the lowest at 27 pounds so the difference is 108-27 =<<108-27=81>>81 pounds
#### 81",2,4763
5701,5701,Alvin is 30 years old and Simon is 5 years away from being 1/2 the age of Alvin.  How old is Simon?,"1/2 the age of Alvin who is 30 is 30/2 = <<30/2=15>>15
Simon is 5 years away from being half the age of Alvin so Simon is 15-5 = <<5+5=10>>10 years old
#### 10",3,2792
504,504,"From March to August, Sam made $460 doing 23 hours of yard work. However, from September to February, Sam was only able to work for 8 hours. If Sam is saving up to buy a video game console that costs $600 and has already spent $340 to fix his car, how many more hours does he need to work before he can buy the video game console?","Sam makes $460 / 23 hrs = $<<460/23=20>>20/hr.
From September to February, Sam made 8hrs x $20/hr = $<<8*20=160>>160.
From March to February, Sam made a total of $460 + $160 = $620.
After fixing his car, he was left with $620 - $340 = $<<620-340=280>>280.
Sam needs another $600 - $280 = $<<600-280=320>>320.
Sam needs to work another $320 / $20/hr = <<320/20=16>>16 hours.
#### 16",4,4435
3009,3009,"The country of Belize had a 5 lane bridge that had 2000 vehicles passing through it every month. They decided to build a new bridge that had twice the capacity of the old one, and the number of vehicles passing through the new one increased by 60% more than the old bridge. If the bridges work concurrently for a year, calculate the total number of vehicles that pass through the two bridges.","In a year with 12 months, the total number of vehicles passing through the old bridge is 2000*12 = <<2000*12=24000>>24000
The new bridge has a capacity of 60/100*2000 = <<60/100*2000=1200>>1200 more vehicles passing through it in a month than the old one.
The total number of vehicles passing through the new bridge in a month is 2000+1200 = <<2000+1200=3200>>3200
There are 3200*12 = <<3200*12=38400>>38400 vehicles passing through the new bridge in a year.
Altogether, the two bridges have 38400+24000 = <<38400+24000=62400>>62400 vehicles passing through them in a year.
#### 62400",0,4768
1237,1237,"Laura is hosting a carwash. She will charge $5 for a car, $6 for a truck, and $7 for an SUV. They raised $100 in total. If they washed 5 SUVs and 5 trucks, how many cars did they wash?","They earned $30 from trucks because 5 x 6 = <<5*6=30>>30
They earned $35 from SUVs because 5 x 7 = <<5*7=35>>35
They earned $35 from cars because 100 - 35 - 30 = <<100-35-30=35>>35
They washed 7 cars because 35 / 5 = <<35/5=7>>7
#### 7",1,1851
3222,3222,"Nicole collected 400 Pokemon cards. Cindy collected twice as many, and Rex collected half of Nicole and Cindy's combined total. If Rex divided his card equally among himself and his three younger siblings, how many cards does Rex have left?","Cindy has 400 x 2 = <<400*2=800>>800 cards.
Nicole and Cindy have 400 + 800 = <<400+800=1200>>1200 cards.
Rex has 1200/2 = <<1200/2=600>>600 cards.
Rex is left with 600/(3+1=4) = <<600/4=150>>150 cards
#### 150",2,4513
125,125,"Haley grows at the rate of 3 inches every year. If she is currently 20 inches tall, what will be her height after 10 years?","After 10 years, growing at the rate of 3 inches every year, Haley will have grown by 3*10 = <<3*10=30>>30 inches.
If she is currently 20 inches tall, her height after 10 years will be 20+30 = <<20+30=50>>50 inches.
#### 50",3,4157
1826,1826,"Miriam is trying to exercise more and figures if she counts her exercises it will be encouraging to see her numbers go up. On Monday she does 5 push-ups. On Tuesday she does 7 push-ups. On Wednesday she does twice as many push-ups as the day before. On Thursday she does half the number of total pushups she already did that week. Finally, on Friday she does as many pushups as the total number she did over the previous four days. How many pushups does Miriam do on Friday?","On Monday Miriam does 5 push-ups + 7 push-ups on Tuesday = <<5+7=12>>12 push-ups on both days.
On Wednesday she does twice as many push-ups as she did on Tuesday, 7 x 2 = <<7*2=14>>14 push-ups on Wednesday.
Over the first 3 days, she did a total of 14 + 12 = <<14+12=26>>26 pushups
On Thursday Miriam did 1/2 the same number of total pushups she had already done that week, so she did 1/2 x 26 = <<1/2*26=13>>13 pushups on Thursday.
On Friday she does as many push-ups as the total of what she had done over the previous four days, so she did 5 + 7 + 14 + 13 = <<5+7+14+13=39>>39 push-ups on Friday.
#### 39",4,2703
